Incidents|What should you do if you break down on a level crossing, even if the lights haven't yet begun to flash?|Leave your vehicle and get yourself and any passengers well clear|Continue down the track and attempt to signal any oncoming trains|Tell others what the issue is|Stay in your car|1|levelcrossing|Getting everyone out of the vehicle and away from the crossing should be your first priority following a breakdown on a level crossing. Warn the signal operator via the railway telephone (if one is present), and only attempt to move the vehicle if the alarm signals are not yet on.
Incidents|You arrive at the scene of an accident and find someone has suffered a burn which needs to be treated. How long should the burn be cooled for?|At least 5 minutes|At least 10 minutes|At least 15 minutes|At least 20 minutes|4|collision|A burn should be cooled for at least 20 minutes. Cool it with a cool, clean, non-toxic liquid. Water ideally. You should also check the casualty for shock.
Incidents|You arrive at the scene of an incident. Several people are badly injured. After turning on your hazard lights and ensuring all engines are off, what should you do?|Wave down other motorists for help|Pull any casualties away from the vehicle(s)|Provide sweet drinks for anyone injured|Call for an ambulance|4|collision|You shouldn't assume someone else has already contacted the emergency services, and should phone them yourself. It's also important to make sure there is no further danger. Check that engines are off and that hazard warning lights are turned on, reducing the risk of fire or further collision.
Incidents|You are approaching a long tunnel. Which of these should you do?|Turn on your full-beam headlights|Lower your sun visor and put your sunglasses on|Use a lower gear|Tune your radio to the frequency shown on signs|4|tunnel|You'll often see signs for local radio channels as you approach a tunnel. These radio stations warn of traffic, incidents, or congestion within the tunnel. Some radios have settings allowing them to automatically pick up these signals. Ensure tuning the radio doesn't distract you. Using these radio stations will give advance warning of hazards within the tunnel, preventing issues from escalating. Fire is the greatest risk in a tunnel due to risk of suffocation from smoke.
Incidents|What should you do if your car catches fire in a tunnel, but is still driveable?|Continue out of the tunnel if possible|Leave the engine running and exit the vehicle|Stop as far to one side of the tunnel as possible|Stop and walk to the nearest emergency telephone|1|tunnel|If it's possible to continue on without causing further danger, you should continue to drive out of the tunnel. Smoke gathers in tunnels, presenting risk of suffocation.
Incidents|There has been a road traffic accident and someone is bleeding from their arm. There is nothing embedded in the wound. How should you help this person?|Dab the wound with a cloth|Raise their arm and apply pressure|Pour them some water|Lower their arm and apply pressure|2|firstaid|The casualty should be laid down if possible, and the wound should be checked for debris. Use a clean material to apply pressure to the wound without pressing any debris into the wound. If you can, raise the arm above heart level to slow blood loss.
Incidents|What should you do if your car catches fire in a tunnel, but is NOT driveable?|Close the windows and stay in the vehicle|Turn on your hazard warning lights, leave the vehicle, then call for help|Turn off your lights and leave the vehicle|Leave the engine running and leave the vehicle|2|tunnel|While the best option is usually to continue driving, this is sometimes not possible. Pull over at an emergency point (if there is one), switch on our hazard warning lights, and leave the vehicle to call for help. An on-board fire extinguisher may be enough to deal with small fires, but leave large fires to the professionals.
Incidents|Following an incident, a casualty has a bleeding arm but can move it freely. Why should you ask them to move it into a raised position?|To allow emergency services to recognise them|To reduce blood flow and bleeding|To reduce the pain|To prevent them from touching other people|2|firstaid|Raising the arm above heart level will reduce the flow of blood and lessen blood loss. You should make sure the arm isn't broken before raising it, as this could lead to further injury.
Incidents|Following an accident, an unconscious injured person has been placed in the recovery position. Their breathing is normal. What else should you do?|Give them water|Lower their arms to their sides|Ensure their airway remains clear|Press down between their shoulder blades|3|firstaid|You should ensure their airway remains clear, monitoring their condition until medical help arrives. Unless there is further danger, do not move the casualty.
Incidents|You are driving behind a lorry on the motorway. A large box falls from the vehicle onto the road. How should you react?|Continue until the next emergency telephone and report it|Follow the driver and flash your lights to get their attention|Pull onto the hard shoulder and retrieve the box|Stop your car near the box until police arrive|1|hgv|Given the size of their vehicles, it's not uncommon for lorry drivers to miss seeing objects falling from their vehicles. If the driver doesn't stop following this happening, don't attempt to rescue the object. Instead, stop safely on the hard shoulder and report the hazard on an emergency telephone.
